Date,Source,Form,Positions,Status,AccessionNumber,FilingID,URL,CachePath
2005-03-31,SEC-RYDEX-NDX,N-CSR,103,selected,0000935069-05-001610,form_ncsr.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506905001610/form_ncsr.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2005-03-31_000093506905001610_form_ncsr.txt
2005-06-30,SEC-RYDEX-NDX,N-Q,93,selected,0000935069-05-001974,form_nq.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506905001974/form_nq.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2005-06-30_000093506905001974_form_nq.txt
2005-09-30,SEC-RYDEX-NDX,N-CSRS,91,selected,0000935069-05-003302,g20122_seriesfundsncsrs.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506905003302/g20122_seriesfundsncsrs.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2005-09-30_000093506905003302_g20122_seriesfundsncsrs.txt
2005-12-31,SEC-RYDEX-NDX,N-Q,93,selected,0000935069-06-000485,g31697_rydexnq.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506906000485/g31697_rydexnq.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2005-12-31_000093506906000485_g31697_rydexnq.txt
2006-03-31,SEC-RYDEX-NDX,N-CSR,96,selected,0000935069-06-001608,g32070_rydexseriesfundsncsr.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506906001608/g32070_rydexseriesfundsncsr.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2006-03-31_000093506906001608_g32070_rydexseriesfundsncsr.txt
2006-06-30,SEC-RYDEX-NDX,N-Q,100,selected,0000935069-06-002253,g35045_benchmarknq.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506906002253/g35045_benchmarknq.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2006-06-30_000093506906002253_g35045_benchmarknq.txt
2006-09-30,SEC-RYDEX-NDX,N-CSR,104,selected,0000935069-07-001367,g38552_seriesncsr.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506907001367/g38552_seriesncsr.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2006-09-30_000093506907001367_g38552_seriesncsr.txt
2006-12-31,SEC-RYDEX-NDX,N-Q,100,selected,0000935069-07-000275,g38299_seriesnq.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506907000275/g38299_seriesnq.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2006-12-31_000093506907000275_g38299_seriesnq.txt
2007-06-30,SEC-RYDEX-NDX,N-Q,105,selected,0000935069-07-001876,g42274_seriesnq.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506907001876/g42274_seriesnq.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2007-06-30_000093506907001876_g42274_seriesnq.txt
2007-09-30,SEC-RYDEX-NDX,N-CSRS,0,rejected-too-few-positions,0000935069-07-002896,a1ncsrs.htm,https://www.sec.gov/Archives/edgar/data/899148/000093506907002896/a1ncsrs.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2007-09-30_000093506907002896_a1ncsrs.htm
2007-12-31,SEC-RYDEX-NDX,N-Q,0,rejected-too-few-positions,0000935069-08-000389,a1_nq.htm,https://www.sec.gov/Archives/edgar/data/899148/000093506908000389/a1_nq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2007-12-31_000093506908000389_a1_nq.htm
2008-03-31,SEC-RYDEX-NDX,N-CSR,0,rejected-too-few-positions,0000935069-08-001405,a1_ncsr.htm,https://www.sec.gov/Archives/edgar/data/899148/000093506908001405/a1_ncsr.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2008-03-31_000093506908001405_a1_ncsr.htm
2008-06-30,SEC-RYDEX-NDX,N-Q,0,rejected-too-few-positions,0000935069-08-002103,a1_nq.htm,https://www.sec.gov/Archives/edgar/data/899148/000093506908002103/a1_nq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2008-06-30_000093506908002103_a1_nq.htm
2008-09-30,SEC-RYDEX-NDX,N-CSRS,0,rejected-too-few-positions,0000935069-08-002913,a1_seriesncsrs.htm,https://www.sec.gov/Archives/edgar/data/899148/000093506908002913/a1_seriesncsrs.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2008-09-30_000093506908002913_a1_seriesncsrs.htm
2008-12-31,SEC-RYDEX-NDX,N-Q,0,rejected-too-few-positions,0001434991-09-000050,p14039anvq.htm,https://www.sec.gov/Archives/edgar/data/899148/000143499109000050/p14039anvq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2008-12-31_000143499109000050_p14039anvq.htm
2009-03-31,SEC-RYDEX-NDX,N-Q,0,rejected-too-few-positions,0000950123-09-010063,p15059nvq.htm,https://www.sec.gov/Archives/edgar/data/899148/000095012309010063/p15059nvq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2009-03-31_000095012309010063_p15059nvq.htm
2009-06-30,SEC-RYDEX-NDX,N-Q,0,rejected-too-few-positions,0000950123-09-039890,p15765nvq.htm,https://www.sec.gov/Archives/edgar/data/899148/000095012309039890/p15765nvq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2009-06-30_000095012309039890_p15765nvq.htm
2009-09-30,SEC-RYDEX-NDX,N-Q,0,rejected-too-few-positions,0000950123-09-066753,p16127nvq.htm,https://www.sec.gov/Archives/edgar/data/899148/000095012309066753/p16127nvq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2009-09-30_000095012309066753_p16127nvq.htm
2009-12-31,SEC-RYDEX-NDX,N-Q,0,rejected-too-few-positions,0000950123-10-019144,p16710nvq.htm,https://www.sec.gov/Archives/edgar/data/899148/000095012310019144/p16710nvq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2009-12-31_000095012310019144_p16710nvq.htm
