Date,FilingDate,FilingID,Company,Shares,Value,Form,Source,ParserMethod,DateQuality
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Integrated Device Technology, Inc.",2443969,25515036,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Applied Micro Circuits Corporation,8695707,24869722,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Tellabs, Inc.",5836974,23756484,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Rational Software Corporation,5024291,21704937,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"PMC - Sierra, Inc.",4591545,17815195,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Protein Design Labs, Inc.",2129647,17676070,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Compuware Corporation,5771794,17603972,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,ImClone Systems Incorporated,1873519,14613448,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Charter Communications, Inc.",7614052,14162136,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Abgenix, Inc.",2066548,13411896,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Sepracor Inc.,2110240,11057658,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Atmel Corporation,8716733,9170002,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Conexant Systems, Inc.",7261222,8059955,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,LM Ericsson Telephone Company,22368153,8052535,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"i2 Technologies, Inc.",11543663,6002705,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Vitesse Semiconductor Corporation,5420203,3685738,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Intel Corporation,44582519,1226465098,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Cisco Systems, Inc.",48587903,949407624,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,QUALCOMM Inc.,18721464,779561761,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Amgen Inc.,11766296,759749733,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Dell Inc.,18480572,617066299,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Comcast Corporation,18574782,573589268,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,eBay Inc.,9365697,501158446,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Nextel Communications, Inc.",25184034,495873629,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,InterActiveCorp,14764901,487979978,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Oracle Corporation,42590799,477868765,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Maxim Integrated Products, Inc.",8897184,351438768,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Starbucks Corporation,10634405,306270864,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Applied Materials, Inc.",16820827,305129802,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Bed Bath & Beyond Inc.,7775345,296862672,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Linear Technology Corporation,8181166,292967554,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Electronic Arts Inc.,2909974,268386902,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,VERITAS Software Corporation,8510098,267217077,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Chiron Corporation,5101929,263718710,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Xilinx, Inc.",8843491,252127928,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Genzyme Corporation,5444370,251802113,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Amazon.com, Inc.",5179548,250482941,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Intuit Inc.,5056283,243915092,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Paychex, Inc.",6992141,237243344,485BPOS,SEC,text-schedule,reported-as-of
