Date,Form,Source,Positions,MappedPositions,OfficialCount,OfficialCoverage,MissingOfficialCount,MissingOfficial,ValueTotal,WeightSum,Confidence
2007-09-30,485BPOS,SEC-485BPOS,99,99,100,0.99,1,NVDA,20330897043.0,1.0,B-observed-annual
2007-11-30,N-CSR,SEC-MORGAN-NDX,98,98,100,0.98,2,ERIC|LEAP,40109964.0,1.0,A-observed-index-fund
2008-02-29,N-Q,SEC-MORGAN-NDX,95,95,100,0.95,5,FMCN|HANS|HOLX|SRCL|STLD,32458230.0,1.0,A-observed-index-fund
2008-05-31,N-CSRS,SEC-MORGAN-NDX,100,100,100,1.0,0,,41225353.0,0.9999999999999998,A-observed-index-fund
2008-09-30,485BPOS,SEC-485BPOS,100,100,100,1.0,0,,18091801491.0,1.0,B-observed-annual
2009-09-30,485BPOS,SEC-485BPOS,100,100,100,1.0,0,,17093021127.0,0.9999999999999998,B-observed-annual
2010-09-30,485BPOS,SEC-485BPOS,100,100,100,1.0,0,,21232784912.0,1.0000000000000002,B-observed-annual
2011-09-30,485BPOS,SEC-485BPOS,100,100,100,1.0,0,,21485139915.0,0.9999999999999999,B-observed-annual
2012-09-30,485BPOS,SEC-485BPOS,100,100,100,1.0,0,,34622078740.0,1.0,B-observed-annual
2013-09-30,485BPOS,SEC-485BPOS,100,100,100,1.0,0,,38231088980.0,0.9999999999999999,B-observed-annual
2014-09-30,485BPOS,SEC-485BPOS,103,103,103,1.0,0,,42033212910.0,0.9999999999999999,B-observed-annual
2015-09-30,485BPOS,SEC-485BPOS,109,109,109,1.0,0,,36804988670.0,1.0,B-observed-annual
2016-09-30,485BPOS,SEC-485BPOS,105,105,105,1.0,0,,39515775492.0,0.9999999999999999,B-observed-annual
2017-09-30,485BPOS,SEC-485BPOS,107,107,107,1.0,0,,52162471046.0,1.0,B-observed-annual
2018-09-30,485BPOS,SEC-485BPOS,103,103,103,1.0,0,,73980573140.0,1.0,B-observed-annual
2019-09-30,NPORT-P,SEC-NPORT,103,103,103,1.0,0,,75028000046.45,1.0,A-observed-quarterly
2019-12-31,NPORT-P,SEC-NPORT,103,103,103,1.0,0,,87196227550.48997,1.0,A-observed-quarterly
2020-03-31,NPORT-P,SEC-NPORT,103,103,103,1.0,0,,83442812571.61002,1.0,A-observed-quarterly
2020-06-30,NPORT-P,SEC-NPORT,103,103,103,1.0,0,,114619206017.00003,1.0,A-observed-quarterly
2020-09-30,NPORT-P,SEC-NPORT,103,103,103,1.0,0,,135683471517.30997,1.0000000000000002,A-observed-quarterly
2020-12-31,NPORT-P,SEC-NPORT,102,102,102,1.0,0,,151941641354.87997,0.9999999999999999,A-observed-quarterly
2021-03-31,NPORT-P,SEC-NPORT,102,102,102,1.0,0,,153750017413.22,0.9999999999999998,A-observed-quarterly
2021-06-30,NPORT-P,SEC-NPORT,102,102,102,1.0,0,,176982083592.96005,1.0,A-observed-quarterly
2021-09-30,NPORT-P,SEC-NPORT,102,102,102,1.0,0,,182439642505.73004,0.9999999999999999,A-observed-quarterly
2021-12-31,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,215955628731.42,1.0,A-observed-quarterly
2022-03-31,NPORT-P,SEC-NPORT,102,102,102,1.0,0,,198802270097.75,1.0,A-observed-quarterly
2022-06-30,NPORT-P,SEC-NPORT,102,102,102,1.0,0,,153117125198.68,1.0000000000000002,A-observed-quarterly
2022-09-30,NPORT-P,SEC-NPORT,102,102,102,1.0,0,,147749119850.83997,0.9999999999999999,A-observed-quarterly
2022-12-31,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,145397313714.41998,0.9999999999999999,A-observed-quarterly
2023-03-31,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,172347031831.94998,1.0,A-observed-quarterly
2023-06-30,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,201528431409.99,1.0,A-observed-quarterly
2023-09-30,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,197226260188.32,1.0,A-observed-quarterly
2023-12-31,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,229963699523.75,1.0,A-observed-quarterly
2024-03-31,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,259186863059.01,1.0,A-observed-quarterly
2024-06-30,NPORT-P,SEC-NPORT,102,102,102,1.0,0,,286587705745.8599,1.0000000000000002,A-observed-quarterly
2024-09-30,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,294711733904.96,1.0,A-observed-quarterly
2024-12-31,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,318913703622.62006,0.9999999999999999,A-observed-quarterly
2025-03-31,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,297221046593.16,1.0,A-observed-quarterly
2025-06-30,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,352607581070.36993,1.0,A-observed-quarterly
2025-09-30,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,385686111632.80994,1.0,A-observed-quarterly
2025-12-31,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,406974215192.08997,0.9999999999999999,A-observed-quarterly
2026-03-31,NPORT-P,SEC-NPORT,101,101,101,1.0,0,,372078653260.56006,1.0,A-observed-quarterly
