Date,Count,Top,BufferRule,Type,Tickers,Weights,PriceTickers
2012-12-24,9,AAPL,True,Recon,AAPL|MSFT|GOOG|ORCL|AMZN|CSCO|QCOM|INTC|CMCSA,0.300000|0.172945|0.141605|0.125141|0.089070|0.080886|0.080353|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|INTC|MSFT|ORCL|QCOM
2013-03-18,9,AAPL,True,Rebal,AAPL|MSFT|GOOG|ORCL|AMZN|CSCO|QCOM|INTC|CMCSA,0.300000|0.168363|0.151142|0.125799|0.083265|0.082865|0.078566|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|INTC|MSFT|ORCL|QCOM
2013-06-24,9,AAPL,True,Rebal,AAPL|MSFT|GOOG|ORCL|CSCO|AMZN|QCOM|INTC|CMCSA,0.260903|0.200571|0.169983|0.105316|0.091696|0.088205|0.073326|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|INTC|MSFT|ORCL|QCOM
2013-09-23,9,AAPL,True,Rebal,AAPL|MSFT|GOOG|AMZN|CSCO|QCOM|INTC|GILD|CMCSA,0.300000|0.207849|0.184910|0.108363|0.098722|0.090155|0.003333|0.003333|0.003333,AAPL|AMZN|CMCSA|CSCO|GILD|GOOG|INTC|MSFT|QCOM
2013-12-23,9,AAPL,True,Recon,AAPL|GOOG|MSFT|AMZN|INTC|QCOM|CSCO|GILD|CMCSA,0.285825|0.168575|0.168494|0.101591|0.069615|0.068997|0.063590|0.063314|0.010000,AAPL|AMZN|CMCSA|CSCO|GILD|GOOG|INTC|MSFT|QCOM
2014-03-24,9,AAPL,True,Rebal,AAPL|MSFT|GOOG|AMZN|QCOM|INTC|CSCO|GILD|FB,0.280594|0.203019|0.119006|0.098899|0.079266|0.075661|0.067222|0.066334|0.010000,AAPL|AMZN|CSCO|GILD|GOOG|INTC|META|MSFT|QCOM
2014-06-23,9,AAPL,False,Rebal,AAPL|MSFT|GOOG|GOOGL|AMZN|INTC|QCOM|CSCO|GILD,0.282338|0.179611|0.099190|0.084476|0.078489|0.077696|0.069109|0.065684|0.063407,AAPL|AMZN|CSCO|GILD|GOOG|GOOGL|INTC|MSFT|QCOM
2014-09-22,9,AAPL,False,Rebal,AAPL|MSFT|GOOG|INTC|GOOGL|GILD|AMZN|CSCO|QCOM,0.288463|0.184846|0.094697|0.081919|0.080676|0.076002|0.071470|0.060975|0.060952,AAPL|AMZN|CSCO|GILD|GOOG|GOOGL|INTC|MSFT|QCOM
2014-12-22,10,AAPL,False,Recon,AAPL|MSFT|INTC|GOOG|FB|GOOGL|CSCO|AMZN|GILD|AMGN,0.294040|0.171896|0.080101|0.077184|0.071361|0.065581|0.062855|0.061581|0.061060|0.054340,AAPL|AMGN|AMZN|CSCO|GILD|GOOG|GOOGL|INTC|META|MSFT
2015-03-23,10,AAPL,False,Rebal,AAPL|MSFT|GOOG|FB|AMZN|GOOGL|INTC|GILD|CSCO|AMGN,0.300000|0.147137|0.082271|0.081893|0.075306|0.070348|0.063665|0.063158|0.062019|0.054204,AAPL|AMGN|AMZN|CSCO|GILD|GOOG|GOOGL|INTC|META|MSFT
