rank,allocation_id,method,trigger,ema_span,review,crash_threshold,trailing_stop,derisk,cooldown,test_cagr,test_max_drawdown,test_cagr_delta,test_dd_delta,selection_score
12,2,Calendar:Yearly,combined,150,Daily,0.1,0.15,0.5,0,0.20662563233484743,-0.12744251440321497,0.0006095438122974972,0.06854566137536067,0.011787443050018106
13,2,Calendar:Yearly,combined,200,Monthly,0.125,0.1,0.5,20,0.2044445231545471,-0.12396700057198895,-0.0015715653680028474,0.07202117520658669,-0.008594071560176898
14,2,AbsoluteBand:Yearly:0.2,combined,200,Monthly,0.125,0.1,0.5,20,0.2054714598786811,-0.12383914287531816,-0.001794009576590927,0.0718083821458202,-0.007983311530632201
15,2,AbsoluteBand:Yearly:0.2,combined,200,Daily,0.075,0.0,0.5,0,0.20701323001581518,-0.12855327455214893,-0.00025223943945684724,0.06709425046898942,0.02441792074169217
16,2,AbsoluteBand:Yearly:0.2,combined,150,Daily,0.1,0.15,0.5,0,0.206633353281801,-0.12750385937043018,-0.0006321161734710312,0.06814366565070817,0.011255946860992365
17,2,Calendar:Yearly,combined,150,Daily,0.075,0.15,0.5,0,0.2048395991380978,-0.1274425144032152,-0.0011764893844521396,0.06854566137536044,0.01852380846067516
18,2,AbsoluteBand:Yearly:0.2,combined,150,Daily,0.075,0.15,0.5,0,0.20478476603465223,-0.12750385937043052,-0.0024807034206197898,0.06814366565070784,0.01876008994367325
19,2,Calendar:Yearly,combined,200,Daily,0.1,0.0,1.0,0,0.20626499948709442,-0.1358763272324076,0.0002489109645444909,0.06011184854616802,0.017410097831815623
20,2,Calendar:Yearly,crash,100,Daily,0.075,0.1,0.5,0,0.20189713097672235,-0.12505945135184715,-0.004118957545827584,0.07092872442672848,0.01313733338604704
21,8,AbsoluteBand:Yearly:0.05,crash,100,Monthly,0.1,0.1,0.5,20,0.1779414005435529,-0.09754711693701112,0.0009090226184182981,0.056303332045892995,0.010819353400499714
22,1,AbsoluteBand:Yearly:0.2,crash,100,Daily,0.125,0.15,1.0,0,0.2001646261605674,-0.14317578577785595,0.00317638083530003,0.049450152982272066,-0.007195754023261194
23,2,Calendar:Yearly,combined,200,Weekly,0.125,0.0,0.5,20,0.2002405841556134,-0.12396700057198895,-0.005775504366936524,0.07202117520658669,-0.003539249358349695
24,2,Calendar:Yearly,combined,200,Weekly,0.125,0.15,0.5,20,0.2002405841556134,-0.12396700057198895,-0.005775504366936524,0.07202117520658669,-0.003539249358349695
25,2,AbsoluteBand:Yearly:0.2,combined,200,Weekly,0.125,0.0,0.5,20,0.20131046284926946,-0.12383914287531816,-0.005955006606002566,0.0718083821458202,-0.008172165184220327
26,2,AbsoluteBand:Yearly:0.2,combined,200,Weekly,0.125,0.15,0.5,20,0.20131046284926946,-0.12383914287531816,-0.005955006606002566,0.0718083821458202,-0.008172165184220327
27,7,Calendar:Yearly,crash,100,Monthly,0.125,0.0,1.0,20,0.1676167220243734,-0.11584173017901667,0.003883589057914749,0.04080969300744053,0.012267352966489037
28,2,AbsoluteBand:Yearly:0.2,crash,100,Daily,0.075,0.1,0.5,0,0.20072086864881777,-0.1251104636914846,-0.006544600806454248,0.07053706132965376,0.0037820189729875046
29,2,AbsoluteBand:Yearly:0.2,ema,200,Monthly,0.0,0.15,1.0,0,0.2044840588254524,-0.13678473591097018,-0.002781410629819625,0.05886278911016818,-0.046717595005761337
30,8,AbsoluteBand:Yearly:0.05,combined,200,Monthly,0.1,0.1,0.5,20,0.17497717504242982,-0.09754711693701112,-0.0020552028827047764,0.056303332045892995,0.0035076047205469052
31,5,Calendar:Yearly,crash,100,Monthly,0.125,0.0,1.0,20,0.18692242742193765,-0.12069445322982963,0.004334933376193728,0.03799588749785432,0.010000896867486075
32,2,Calendar:Yearly,ema,200,Monthly,0.0,0.15,1.0,20,0.19975069012904978,-0.12807052031423016,-0.0062653983935001545,0.06791765546434547,-0.04836342123308056
33,2,AbsoluteBand:Yearly:0.2,ema,200,Monthly,0.0,0.15,1.0,60,0.20095900059519178,-0.1279460589997058,-0.006306468860080239,0.06770146602143257,-0.10573557920789942
34,1,Calendar:Yearly,combined,150,Monthly,0.15,0.15,0.5,0,0.18787656818945964,-0.12664689329041023,-0.006949934039394812,0.0693121310675463,0.017518112044773368
35,1,Calendar:Yearly,ema,150,Monthly,0.0,0.15,0.5,20,0.19556624390640076,-0.149342901824005,0.0007397416775463128,0.04661612253395153,-0.0004821584166119575
36,2,Calendar:Yearly,ema,200,Monthly,0.0,0.15,1.0,60,0.19863308028060267,-0.1280705203142305,-0.007383008241947264,0.06791765546434514,-0.10772964975910063
37,7,Calendar:Yearly,combined,100,Monthly,0.125,0.15,0.5,0,0.16658305007815977,-0.11840019369355514,0.002849917111701128,0.03825122949290205,0.009814669589162793
