rank_by_local_test_cagr,allocation_id,allocation,method,method_family,ema_window,funding_policy,check_frequency,band_type,band,local_test_cagr,local_test_max_drawdown,local_test_sharpe,testfol_verified,testfol_test_cagr,testfol_test_max_drawdown,testfol_rebalancing_stats
11,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,Calendar:Quarterly,Calendar,,,Quarterly,,,0.19259446576459527,-0.21748114542238295,1.2040082226616533,False,,,[]
12,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Yearly:0.2,Relative,,,Yearly,Relative,0.2,0.1924193862297192,-0.20888042783596505,1.2159113420644891,False,,,[]
13,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Monthly:0.2,Relative,,,Monthly,Relative,0.2,0.1924193862297192,-0.20888042783596505,1.2159113420644891,False,,,[]
14,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Quarterly:0.2,Relative,,,Quarterly,Relative,0.2,0.1924193862297192,-0.20888042783596505,1.2159113420644891,False,,,[]
15,7,DBC 27.70% / DBMF 39.07% / TLT 2.82% / TQQQ 11.60% / TYD 2.78% / VNQ 16.03%,EMA200:replacement:Quarterly,EMA,200,replacement,Quarterly,,,0.1916709937126404,-0.4311528011460124,0.6928709320640982,False,,,[]
16,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,Calendar:Yearly,Calendar,,,Yearly,,,0.19045884593350837,-0.20702523209781287,1.1814691916937774,True,0.19111457629670592,-0.2070232613180304,"[{""rebalancings"": 16, ""rebalancings_per_year"": 0.9708644353479412, ""turnover_per_rebalancing"": 7.181987338381791, ""turnover_per_year"": 6.972736081954101}]"
17,7,DBC 27.70% / DBMF 39.07% / TLT 2.82% / TQQQ 11.60% / TYD 2.78% / VNQ 16.03%,EMA200:cash_only:Quarterly,EMA,200,cash_only,Quarterly,,,0.18974700503723918,-0.43115280114601207,0.6884382393682056,False,,,[]
18,5,DBC 37.93% / DBMF 33.46% / TQQQ 11.72% / VNQ 10.84% / XLP 6.05%,EMA100:pro_rata:Monthly,EMA,100,pro_rata,Monthly,,,0.18913263194542562,-0.19108440535234084,1.0284463991190522,False,,,[]
19,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Yearly:0.1,Relative,,,Yearly,Relative,0.1,0.18899503979537147,-0.20946376775657238,1.197389981076188,False,,,[]
20,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Monthly:0.1,Relative,,,Monthly,Relative,0.1,0.18899503979537147,-0.20946376775657238,1.197389981076188,False,,,[]
21,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Quarterly:0.1,Relative,,,Quarterly,Relative,0.1,0.18899503979537147,-0.20946376775657238,1.197389981076188,False,,,[]
22,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Monthly:0.05,Relative,,,Monthly,Relative,0.05,0.1875391294331139,-0.20822324839974227,1.1884142921102674,False,,,[]
23,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Quarterly:0.05,Relative,,,Quarterly,Relative,0.05,0.1875391294331139,-0.20822324839974227,1.1884142921102674,False,,,[]
24,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Yearly:0.05,Relative,,,Yearly,Relative,0.05,0.1875391294331139,-0.20822324839974227,1.1884142921102674,False,,,[]
25,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Quarterly:0.05,Absolute,,,Quarterly,Absolute,0.05,0.18745418321758445,-0.2127492328570184,1.2013111340636777,False,,,[]
26,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Yearly:0.05,Absolute,,,Yearly,Absolute,0.05,0.18745418321758445,-0.2127492328570184,1.2013111340636777,False,,,[]
27,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Monthly:0.05,Absolute,,,Monthly,Absolute,0.05,0.18745418321758445,-0.2127492328570184,1.2013111340636777,False,,,[]
28,5,DBC 37.93% / DBMF 33.46% / TQQQ 11.72% / VNQ 10.84% / XLP 6.05%,Calendar:Yearly,Calendar,,,Yearly,,,0.18549965216517417,-0.15869036141204318,1.2644694778894499,True,0.1861480600665033,-0.15867168089285222,"[{""rebalancings"": 7, ""rebalancings_per_year"": 0.9644614543466374, ""turnover_per_rebalancing"": 8.309388459565723, ""turnover_per_year"": 8.014084878443922}]"
29,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,Calendar:Monthly,Calendar,,,Monthly,,,0.18524721522913734,-0.20851115001910592,1.185378906833259,False,,,[]
30,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,Calendar:Quarterly,Calendar,,,Quarterly,,,0.18496664274659502,-0.21731457885966188,1.1367686879662666,False,,,[]
31,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,RelativeBand:Quarterly:0.2,Relative,,,Quarterly,Relative,0.2,0.18282681835688885,-0.22412242505332225,1.1273109281110443,False,,,[]
32,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,RelativeBand:Monthly:0.2,Relative,,,Monthly,Relative,0.2,0.18282681835688885,-0.22412242505332225,1.1273109281110443,False,,,[]
33,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,RelativeBand:Yearly:0.2,Relative,,,Yearly,Relative,0.2,0.18282681835688885,-0.22412242505332225,1.1273109281110443,False,,,[]
34,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,AbsoluteBand:Quarterly:0.1,Absolute,,,Quarterly,Absolute,0.1,0.182295491207497,-0.26384897485490955,1.0519372233139201,False,,,[]
35,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,AbsoluteBand:Monthly:0.1,Absolute,,,Monthly,Absolute,0.1,0.182295491207497,-0.26384897485490955,1.0519372233139201,False,,,[]
36,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,AbsoluteBand:Yearly:0.1,Absolute,,,Yearly,Absolute,0.1,0.182295491207497,-0.26384897485490955,1.0519372233139201,False,,,[]
37,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,RelativeBand:Quarterly:0.1,Relative,,,Quarterly,Relative,0.1,0.1817680936226107,-0.2202136185642275,1.1195963875018715,False,,,[]
38,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,RelativeBand:Yearly:0.1,Relative,,,Yearly,Relative,0.1,0.1817680936226107,-0.2202136185642275,1.1195963875018715,False,,,[]
39,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,RelativeBand:Monthly:0.1,Relative,,,Monthly,Relative,0.1,0.1817680936226107,-0.2202136185642275,1.1195963875018715,False,,,[]
40,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,RelativeBand:Yearly:0.05,Relative,,,Yearly,Relative,0.05,0.18172410675853778,-0.21765761144874074,1.1193122780190494,False,,,[]
41,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,RelativeBand:Monthly:0.05,Relative,,,Monthly,Relative,0.05,0.18172410675853778,-0.21765761144874074,1.1193122780190494,False,,,[]
42,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,RelativeBand:Quarterly:0.05,Relative,,,Quarterly,Relative,0.05,0.18172410675853778,-0.21765761144874074,1.1193122780190494,False,,,[]
43,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,Calendar:Quarterly,Calendar,,,Quarterly,,,0.1802026192231747,-0.2541310500098458,1.049345372511234,False,,,[]
44,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,AbsoluteBand:Quarterly:0.05,Absolute,,,Quarterly,Absolute,0.05,0.17908890486100448,-0.21470472726708445,1.0997910467006282,False,,,[]
45,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,AbsoluteBand:Monthly:0.05,Absolute,,,Monthly,Absolute,0.05,0.17908890486100448,-0.21470472726708445,1.0997910467006282,False,,,[]
46,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,AbsoluteBand:Yearly:0.05,Absolute,,,Yearly,Absolute,0.05,0.17908890486100448,-0.21470472726708445,1.0997910467006282,False,,,[]
47,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,Calendar:Monthly,Calendar,,,Monthly,,,0.17872517437481727,-0.2205661846328496,1.1122675303137353,False,,,[]
48,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,RelativeBand:Monthly:0.1,Relative,,,Monthly,Relative,0.1,0.17865476171981554,-0.261743196948623,1.0359599389929424,False,,,[]
49,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,RelativeBand:Yearly:0.1,Relative,,,Yearly,Relative,0.1,0.17865476171981554,-0.261743196948623,1.0359599389929424,False,,,[]
50,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,RelativeBand:Quarterly:0.1,Relative,,,Quarterly,Relative,0.1,0.17865476171981554,-0.261743196948623,1.0359599389929424,False,,,[]
51,8,DBC 25.39% / DBMF 11.57% / GLD 37.42% / SHV 4.29% / UPRO 7.09% / VTV 14.25%,EMA100:pro_rata:Monthly,EMA,100,pro_rata,Monthly,,,0.1773235019227848,-0.121573831926716,1.224225810512718,False,,,[]
52,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,RelativeBand:Quarterly:0.05,Relative,,,Quarterly,Relative,0.05,0.1767482426245217,-0.25989802244828974,1.025937355489702,False,,,[]
53,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,RelativeBand:Yearly:0.05,Relative,,,Yearly,Relative,0.05,0.1767482426245217,-0.25989802244828974,1.025937355489702,False,,,[]
54,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,RelativeBand:Monthly:0.05,Relative,,,Monthly,Relative,0.05,0.1767482426245217,-0.25989802244828974,1.025937355489702,False,,,[]
55,6,DBC 3.42% / DBMF 1.49% / GLD 56.65% / IEF 9.45% / SSO 22.43% / VNQ 6.55%,EMA200:pro_rata:Yearly,EMA,200,pro_rata,Yearly,,,0.17488601332819376,-0.21156248771118302,1.0902987970648652,False,,,[]
56,6,DBC 3.42% / DBMF 1.49% / GLD 56.65% / IEF 9.45% / SSO 22.43% / VNQ 6.55%,EMA100:pro_rata:Yearly,EMA,100,pro_rata,Yearly,,,0.17488601332819376,-0.21156248771118302,1.0902987970648652,False,,,[]
57,8,DBC 25.39% / DBMF 11.57% / GLD 37.42% / SHV 4.29% / UPRO 7.09% / VTV 14.25%,RelativeBand:Yearly:0.2,Relative,,,Yearly,Relative,0.2,0.17468440788271655,-0.15000436428669217,1.3588256090779611,False,,,[]
58,8,DBC 25.39% / DBMF 11.57% / GLD 37.42% / SHV 4.29% / UPRO 7.09% / VTV 14.25%,RelativeBand:Quarterly:0.2,Relative,,,Quarterly,Relative,0.2,0.17468440788271655,-0.15000436428669217,1.3588256090779611,False,,,[]
59,8,DBC 25.39% / DBMF 11.57% / GLD 37.42% / SHV 4.29% / UPRO 7.09% / VTV 14.25%,RelativeBand:Monthly:0.2,Relative,,,Monthly,Relative,0.2,0.17468440788271655,-0.15000436428669217,1.3588256090779611,True,0.17115553211390666,-0.15397467556411537,"[{""rebalancings"": 104, ""rebalancings_per_year"": 14.329141607435757, ""turnover_per_rebalancing"": 1.5798712603647267, ""turnover_per_year"": 22.638199011284176}]"
60,5,DBC 37.93% / DBMF 33.46% / TQQQ 11.72% / VNQ 10.84% / XLP 6.05%,Calendar:Quarterly,Calendar,,,Quarterly,,,0.17431128079949065,-0.1690433093669247,1.1951714448845354,False,,,[]
61,8,DBC 25.39% / DBMF 11.57% / GLD 37.42% / SHV 4.29% / UPRO 7.09% / VTV 14.25%,Calendar:Yearly,Calendar,,,Yearly,,,0.17410350238606953,-0.14611418652741814,1.3531449687014978,False,,,[]
62,3,DBC 16.09% / GLD 45.60% / TMF 13.84% / TQQQ 15.05% / VTI 9.42%,EMA100:pro_rata:Yearly,EMA,100,pro_rata,Yearly,,,0.17241894604215213,-0.21700226478047946,1.0220340712467095,False,,,[]
63,3,DBC 16.09% / GLD 45.60% / TMF 13.84% / TQQQ 15.05% / VTI 9.42%,EMA200:pro_rata:Yearly,EMA,200,pro_rata,Yearly,,,0.17241894604215213,-0.21700226478047946,1.0220340712467095,False,,,[]
64,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,AbsoluteBand:Monthly:0.05,Absolute,,,Monthly,Absolute,0.05,0.17223805001752068,-0.26642927947437967,1.0212332339095316,False,,,[]
65,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,AbsoluteBand:Yearly:0.05,Absolute,,,Yearly,Absolute,0.05,0.17223805001752068,-0.26642927947437967,1.0212332339095316,False,,,[]
66,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,AbsoluteBand:Quarterly:0.05,Absolute,,,Quarterly,Absolute,0.05,0.17223805001752068,-0.26642927947437967,1.0212332339095316,False,,,[]
67,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,Calendar:Monthly,Calendar,,,Monthly,,,0.17176239732383936,-0.26101866544782115,1.019266386243011,False,,,[]
68,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,AbsoluteBand:Yearly:0.1,Absolute,,,Yearly,Absolute,0.1,0.17108378222594878,-0.22298474681722813,1.0766608753189932,False,,,[]
69,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,AbsoluteBand:Quarterly:0.1,Absolute,,,Quarterly,Absolute,0.1,0.17108378222594878,-0.22298474681722813,1.0766608753189932,False,,,[]
70,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,AbsoluteBand:Monthly:0.1,Absolute,,,Monthly,Absolute,0.1,0.17108378222594878,-0.22298474681722813,1.0766608753189932,False,,,[]
